2025-03-07 21:09:28,571 INFO    MainThread:340 [wandb_init.py:setup_run_log_directory():647] Logging user logs to d:\IIT Madras\SEM 2\Deep Learning\Assignment-1-DL\wandb\run-20250307_210928-7t27u56r\logs\debug.log
2025-03-07 21:09:28,572 INFO    MainThread:340 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to d:\IIT Madras\SEM 2\Deep Learning\Assignment-1-DL\wandb\run-20250307_210928-7t27u56r\logs\debug-internal.log
2025-03-07 21:09:28,572 INFO    MainThread:340 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000256D8EA51D0>
2025-03-07 21:09:28,572 INFO    MainThread:340 [wandb_init.py:init():761] calling init triggers
2025-03-07 21:09:28,572 INFO    MainThread:340 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batch_size': 16, 'epochs': 10, 'hidden_layers': 4, 'hidden_size': 64, 'learning_rate': 0.001, 'optimizer': 'momentum', 'weight_decay': 0, 'weight_init': 'random'}
config: {'_wandb': {}}
2025-03-07 21:09:28,573 INFO    MainThread:340 [wandb_init.py:init():784] starting backend
2025-03-07 21:09:28,573 INFO    MainThread:340 [wandb_init.py:init():788] sending inform_init request
2025-03-07 21:09:28,577 INFO    MainThread:340 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-03-07 21:09:28,579 INFO    MainThread:340 [wandb_init.py:init():803] backend started and connected
2025-03-07 21:09:28,580 INFO    MainThread:340 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'sigmoid', 'batch_size': 16, 'epochs': 10, 'hidden_layers': 4, 'hidden_size': 64, 'learning_rate': 0.001, 'optimizer': 'momentum', 'weight_decay': 0, 'weight_init': 'random'}
2025-03-07 21:09:28,581 INFO    MainThread:340 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-07 21:09:28,596 INFO    MainThread:340 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'charmap' codec can't decode byte 0x81 in position 24019: character maps to <undefined>
2025-03-07 21:09:28,596 INFO    MainThread:340 [wandb_init.py:init():896] updated telemetry
